 [0.0, 22310.0],
 [0.1, 22310.0],
 [0.2, 22567.0],
 [0.3, 22567.0],
 [0.4, 22579.0],
 [0.5, 22579.0],
 [0.6, 22579.0],
 [0.7, 22688.0],
 [0.8, 22719.0],
 [0.9, 22719.0],
 [1.0, 22724.0],
 [1.1, 22724.0],
 [1.2, 22741.0],
 [1.3, 22741.0],
 [1.4, 22745.0],
 [1.5, 22745.0],
 [1.6, 22756.0],
 [1.7, 22756.0],
 [1.8, 22782.0],
 [1.9, 22782.0],
 [2.0, 22795.0],
 [2.1, 22795.0],
 [2.2, 22796.0],
 [2.3, 22796.0],
 [2.4, 22799.0],
 [2.5, 22799.0],
 [2.6, 22801.0],
 [2.7, 22801.0],
 [2.8, 22801.0],
 [2.9, 22805.0],
 [3.0, 22805.0],
 [3.1, 22808.0],
 [3.2, 22808.0],
 [3.3, 22817.0],
 [3.4, 22817.0],
 [3.5, 22826.0],
 [3.6, 22826.0],
 [3.7, 22830.0],
 [3.8, 22830.0],
 [3.9, 22865.0],
 [4.0, 22865.0],
 [4.1, 22878.0],
 [4.2, 22878.0],
 [4.3, 22900.0],
 [4.4, 22900.0],
 [4.5, 22917.0],
 [4.6, 22917.0],
 [4.7, 22942.0],
 [4.8, 22942.0],
 [4.9, 22943.0],
 [5.0, 22943.0],
 [5.1, 22974.0],
 [5.2, 22974.0],
 [5.3, 22985.0],
 [5.4, 22985.0],
 [5.5, 22987.0],
 [5.6, 22987.0],
 [5.7, 23006.0],
 [5.8, 23006.0],
 [5.9, 23011.0],
 [6.0, 23011.0],
 [6.1, 23020.0],
 [6.2, 23020.0],
 [6.3, 23034.0],
 [6.4, 23034.0],
 [6.5, 23043.0],
 [6.6, 23043.0],
 [6.7, 23052.0],
 [6.8, 23052.0],
 [6.9, 23058.0],
 [7.0, 23058.0],
 [7.1, 23060.0],
 [7.2, 23060.0],
 [7.3, 23065.0],
 [7.4, 23065.0],
 [7.5, 23065.0],
 [7.6, 23065.0],
 [7.7, 23084.0],
 [7.8, 23084.0],
 [7.9, 23089.0],
 [8.0, 23089.0],
 [8.1, 23093.0],
 [8.2, 23093.0],
 [8.3, 23097.0],
 [8.4, 23097.0],
 [8.5, 23122.0],
 [8.6, 23122.0],
 [8.7, 23122.0],
 [8.8, 23122.0],
 [8.9, 23124.0],
 [9.0, 23124.0],
 [9.1, 23130.0],
 [9.2, 23130.0],
 [9.3, 23147.0],
 [9.4, 23162.0],
 [9.5, 23162.0],
 [9.6, 23167.0],
 [9.7, 23167.0],
 [9.8, 23169.0],
 [9.9, 23169.0],
 [10.0, 23170.0],
 [10.1, 23170.0],
 [10.2, 23175.0],
 [10.3, 23175.0],
 [10.4, 23185.0],
 [10.5, 23185.0],
 [10.6, 23186.0],
 [10.7, 23186.0],
 [10.8, 23187.0],
 [10.9, 23187.0],
 [11.0, 23188.0],
 [11.1, 23188.0],
 [11.2, 23197.0],
 [11.3, 23197.0],
 [11.4, 23199.0],
 [11.5, 23199.0],
 [11.6, 23208.0],
 [11.7, 23208.0],
 [11.8, 23225.0],
 [11.9, 23225.0],
 [12.0, 23230.0],
 [12.1, 23230.0],
 [12.2, 23259.0],
 [12.3, 23259.0],
 [12.4, 23262.0],
 [12.5, 23262.0],
 [12.6, 23263.0],
 [12.7, 23263.0],
 [12.8, 23264.0],
 [12.9, 23264.0],
 [13.0, 23264.0],
 [13.1, 23264.0],
 [13.2, 23264.0],
 [13.3, 23264.0],
 [13.4, 23267.0],
 [13.5, 23267.0],
 [13.6, 23278.0],
 [13.7, 23278.0],
 [13.8, 23278.0],
 [13.9, 23278.0],
 [14.0, 23282.0],
 [14.1, 23282.0],
 [14.2, 23284.0],
 [14.3, 23284.0],
 [14.4, 23286.0],
 [14.5, 23286.0],
 [14.6, 23287.0],
 [14.7, 23287.0],
 [14.8, 23289.0],
 [14.9, 23289.0],
 [15.0, 23289.0],
 [15.1, 23289.0],
 [15.2, 23295.0],
 [15.3, 23295.0],
 [15.4, 23300.0],
 [15.5, 23300.0],
 [15.6, 23302.0],
 [15.7, 23302.0],
 [15.8, 23306.0],
 [15.9, 23306.0],
 [16.0, 23309.0],
 [16.1, 23309.0],
 [16.2, 23310.0],
 [16.3, 23310.0],
 [16.4, 23310.0],
 [16.5, 23310.0],
 [16.6, 23330.0],
 [16.7, 23330.0],
 [16.8, 23331.0],
 [16.9, 23331.0],
 [17.0, 23332.0],
 [17.1, 23332.0],
 [17.2, 23335.0],
 [17.3, 23335.0],
 [17.4, 23335.0],
 [17.5, 23335.0],
 [17.6, 23336.0],
 [17.7, 23336.0],
 [17.8, 23349.0],
 [17.9, 23349.0],
 [18.0, 23349.0],
 [18.1, 23349.0],
 [18.2, 23350.0],
 [18.3, 23350.0],
 [18.4, 23351.0],
 [18.5, 23351.0],
 [18.6, 23354.0],
 [18.7, 23354.0],
 [18.8, 23361.0],
 [18.9, 23361.0],
 [19.0, 23362.0],
 [19.1, 23362.0],
 [19.2, 23363.0],
 [19.3, 23363.0],
 [19.4, 23367.0],
 [19.5, 23367.0],
 [19.6, 23367.0],
 [19.7, 23367.0],
 [19.8, 23370.0],
 [19.9, 23370.0],
 [20.0, 23381.0],
 [20.1, 23381.0],
 [20.2, 23384.0],
 [20.3, 23384.0],
 [20.4, 23388.0],
 [20.5, 23388.0],
 [20.6, 23390.0],
 [20.7, 23390.0],
 [20.8, 23394.0],
 [20.9, 23394.0],
 [21.0, 23395.0],
 [21.1, 23395.0],
 [21.2, 23397.0],
 [21.3, 23397.0],
 [21.4, 23400.0],
 [21.5, 23400.0],
 [21.6, 23407.0],
 [21.7, 23407.0],
 [21.8, 23409.0],
 [21.9, 23409.0],
 [22.0, 23418.0],
 [22.1, 23418.0],
 [22.2, 23421.0],
 [22.3, 23421.0],
 [22.4, 23423.0],
 [22.5, 23423.0],
 [22.6, 23424.0],
 [22.7, 23424.0],
 [22.8, 23433.0],
 [22.9, 23433.0],
 [23.0, 23439.0],
 [23.1, 23439.0],
 [23.2, 23445.0],
 [23.3, 23445.0],
 [23.4, 23451.0],
 [23.5, 23451.0],
 [23.6, 23454.0],
 [23.7, 23454.0],
 [23.8, 23460.0],
 [23.9, 23460.0],
 [24.0, 23464.0],
 [24.1, 23464.0],
 [24.2, 23465.0],
 [24.3, 23465.0],
 [24.4, 23474.0],
 [24.5, 23474.0],
 [24.6, 23479.0],
 [24.7, 23479.0],
 [24.8, 23481.0],
 [24.9, 23481.0],
 [25.0, 23483.0],
 [25.1, 23483.0],
 [25.2, 23485.0],
 [25.3, 23485.0],
 [25.4, 23486.0],
 [25.5, 23486.0],
 [25.6, 23486.0],
 [25.7, 23486.0],
 [25.8, 23488.0],
 [25.9, 23488.0],
 [26.0, 23493.0],
 [26.1, 23493.0],
 [26.2, 23494.0],
 [26.3, 23494.0],
 [26.4, 23496.0],
 [26.5, 23496.0],
 [26.6, 23498.0],
 [26.7, 23498.0],
 [26.8, 23502.0],
 [26.9, 23502.0],
 [27.0, 23503.0],
 [27.1, 23503.0],
 [27.2, 23504.0],
 [27.3, 23504.0],
 [27.4, 23506.0],
 [27.5, 23506.0],
 [27.6, 23507.0],
 [27.7, 23507.0],
 [27.8, 23508.0],
 [27.9, 23508.0],
 [28.0, 23516.0],
 [28.1, 23516.0],
 [28.2, 23517.0],
 [28.3, 23517.0],
 [28.4, 23517.0],
 [28.5, 23517.0],
 [28.6, 23518.0],
 [28.7, 23518.0],
 [28.8, 23523.0],
 [28.9, 23523.0],
 [29.0, 23527.0],
 [29.1, 23527.0],
 [29.2, 23529.0],
 [29.3, 23529.0],
 [29.4, 23530.0],
 [29.5, 23530.0],
 [29.6, 23531.0],
 [29.7, 23531.0],
 [29.8, 23534.0],
 [29.9, 23534.0],
 [30.0, 23536.0],
 [30.1, 23536.0],
 [30.2, 23536.0],
 [30.3, 23536.0],
 [30.4, 23541.0],
 [30.5, 23541.0],
 [30.6, 23544.0],
 [30.7, 23544.0],
 [30.8, 23548.0],
 [30.9, 23548.0],
 [31.0, 23553.0],
 [31.1, 23553.0],
 [31.2, 23557.0],
 [31.3, 23557.0],
 [31.4, 23567.0],
 [31.5, 23567.0],
 [31.6, 23569.0],
 [31.7, 23569.0],
 [31.8, 23569.0],
 [31.9, 23569.0],
 [32.0, 23570.0],
 [32.1, 23570.0],
 [32.2, 23572.0],
 [32.3, 23572.0],
 [32.4, 23578.0],
 [32.5, 23578.0],
 [32.6, 23581.0],
 [32.7, 23581.0],
 [32.8, 23581.0],
 [32.9, 23581.0],
 [33.0, 23583.0],
 [33.1, 23583.0],
 [33.2, 23588.0],
 [33.3, 23588.0],
 [33.4, 23590.0],
 [33.5, 23590.0],
 [33.6, 23591.0],
 [33.7, 23591.0],
 [33.8, 23591.0],
 [33.9, 23591.0],
 [34.0, 23592.0],
 [34.1, 23592.0],
 [34.2, 23593.0],
 [34.3, 23593.0],
 [34.4, 23595.0],
 [34.5, 23595.0],
 [34.6, 23597.0],
 [34.7, 23597.0],
 [34.8, 23599.0],
 [34.9, 23599.0],
 [35.0, 23600.0],
 [35.1, 23600.0],
 [35.2, 23602.0],
 [35.3, 23602.0],
 [35.4, 23603.0],
 [35.5, 23603.0],
 [35.6, 23605.0],
 [35.7, 23605.0],
 [35.8, 23605.0],
 [35.9, 23605.0],
 [36.0, 23607.0],
 [36.1, 23607.0],
 [36.2, 23608.0],
 [36.3, 23608.0],
 [36.4, 23609.0],
 [36.5, 23609.0],
 [36.6, 23615.0],
 [36.7, 23615.0],
 [36.8, 23621.0],
 [36.9, 23621.0],
 [37.0, 23621.0],
 [37.1, 23621.0],
 [37.2, 23625.0],
 [37.3, 23625.0],
 [37.4, 23625.0],
 [37.5, 23625.0],
 [37.6, 23625.0],
 [37.7, 23625.0],
 [37.8, 23628.0],
 [37.9, 23628.0],
 [38.0, 23628.0],
 [38.1, 23628.0],
 [38.2, 23630.0],
 [38.3, 23630.0],
 [38.4, 23632.0],
 [38.5, 23632.0],
 [38.6, 23633.0],
 [38.7, 23633.0],
 [38.8, 23639.0],
 [38.9, 23639.0],
 [39.0, 23640.0],
 [39.1, 23640.0],
 [39.2, 23640.0],
 [39.3, 23640.0],
 [39.4, 23640.0],
 [39.5, 23640.0],
 [39.6, 23641.0],
 [39.7, 23641.0],
 [39.8, 23643.0],
 [39.9, 23643.0],
 [40.0, 23646.0],
 [40.1, 23646.0],
 [40.2, 23653.0],
 [40.3, 23653.0],
 [40.4, 23653.0],
 [40.5, 23653.0],
 [40.6, 23654.0],
 [40.7, 23654.0],
 [40.8, 23654.0],
 [40.9, 23654.0],
 [41.0, 23656.0],
 [41.1, 23656.0],
 [41.2, 23659.0],
 [41.3, 23659.0],
 [41.4, 23662.0],
 [41.5, 23662.0],
 [41.6, 23662.0],
 [41.7, 23662.0],
 [41.8, 23662.0],
 [41.9, 23662.0],
 [42.0, 23663.0],
 [42.1, 23663.0],
 [42.2, 23667.0],
 [42.3, 23667.0],
 [42.4, 23667.0],
 [42.5, 23667.0],
 [42.6, 23668.0],
 [42.7, 23668.0],
 [42.8, 23670.0],
 [42.9, 23670.0],
 [43.0, 23673.0],
 [43.1, 23673.0],
 [43.2, 23675.0],
 [43.3, 23675.0],
 [43.4, 23675.0],
 [43.5, 23676.0],
 [43.6, 23676.0],
 [43.7, 23677.0],
 [43.8, 23677.0],
 [43.9, 23679.0],
 [44.0, 23679.0],
 [44.1, 23680.0],
 [44.2, 23680.0],
 [44.3, 23680.0],
 [44.4, 23680.0],
 [44.5, 23680.0],
 [44.6, 23680.0],
 [44.7, 23682.0],
 [44.8, 23682.0],
 [44.9, 23682.0],
 [45.0, 23682.0],
 [45.1, 23687.0],
 [45.2, 23687.0],
 [45.3, 23688.0],
 [45.4, 23688.0],
 [45.5, 23689.0],
 [45.6, 23689.0],
 [45.7, 23695.0],
 [45.8, 23695.0],
 [45.9, 23696.0],
 [46.0, 23696.0],
 [46.1, 23700.0],
 [46.2, 23700.0],
 [46.3, 23703.0],
 [46.4, 23703.0],
 [46.5, 23705.0],
 [46.6, 23705.0],
 [46.7, 23706.0],
 [46.8, 23706.0],
 [46.9, 23709.0],
 [47.0, 23709.0],
 [47.1, 23710.0],
 [47.2, 23710.0],
 [47.3, 23710.0],
 [47.4, 23710.0],
 [47.5, 23711.0],
 [47.6, 23711.0],
 [47.7, 23712.0],
 [47.8, 23712.0],
 [47.9, 23712.0],
 [48.0, 23712.0],
 [48.1, 23720.0],
 [48.2, 23720.0],
 [48.3, 23722.0],
 [48.4, 23722.0],
 [48.5, 23724.0],
 [48.6, 23724.0],
